title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
Mystic River,movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,505708,,Crime, Drama, Mystery,,,
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1124778,,Action, Adventure, Sci-Fi,,,
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,460858,,Action, Adventure, Sci-Fi,,,
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,354166,,Action, Adventure, Sci-Fi,,,
Once Upon a Time in the West,movie,"Drama, Western",1968,tt0064116,8.5,370077,,Drama, Western,,,,
Night on Earth,movie,"Comedy, Drama",1991,tt0102536,7.7,68982,,Comedy, Drama,,,,
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,401850,,Drama, Mystery, Thriller,,,
Batman Returns,movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,340932,,Action, Crime, Fantasy,,,
Das Boot,movie,"Drama, War",1981,tt0082096,8.4,280200,,Drama, War,,,,
Inside Man,movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,414649,,Crime, Drama, Mystery,,,
A Fistful of Dollars,movie,"Drama, Western",1964,tt0058461,7.9,245335,,Drama, Western,,,,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,207081,,Drama, Romance,,,,
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,233307,,Drama, Mystery, Thriller,,,
Driving Miss Daisy,movie,"Comedy, Drama",1989,tt0097239,7.3,121461,,Comedy, Drama,,,,
Summer in Berlin,movie,Drama,2005,tt0477877,6.9,3058,,Drama,,,,,
8�,movie,Drama,1963,tt0056801,8,129673,,Drama,,,,,
The Pianist,movie,"Biography, Drama, Music",2002,tt0253474,8.5,972425,,Biography, Drama, Music,,,
Schindler's List,movie,"Biography, Drama, History",1993,tt0108052,9,1531057,,Biography, Drama, History,,,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,446842,,Mystery, Romance, Thriller,,,
